location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
영등포구,0,1,0,0,0,0,0,4,16,0
영등포구,0,1,0,0,0,0,0,4,17,0
영등포구,0,1,0,0,0,0,0,4,18,0
영등포구,0,1,0,0,0,0,0,4,19,0
영등포구,0,1,0,0,0,0,0,4,20,0
영등포구,0,1,0,0,0,0,0,4,21,0
영등포구,0,1,0,0,0,0,0,4,22,0
영등포구,0,1,0,0,0,0,0,4,23,0
영등포구,0,0,1,0,0,0,0,5,0,0
영등포구,0,0,1,0,0,0,0,5,1,0
영등포구,0,0,1,0,0,0,0,5,2,0
영등포구,0,0,1,0,0,0,0,5,3,0
영등포구,0,0,1,0,0,0,0,5,4,0
영등포구,0,0,1,0,0,0,0,5,5,0
영등포구,0,0,1,0,0,0,0,5,6,0
영등포구,0,0,1,0,0,0,0,5,7,0
영등포구,0,0,1,0,0,0,0,5,8,0
영등포구,0,0,1,0,0,0,0,5,9,0
영등포구,0,0,1,0,0,0,0,5,10,0
영등포구,0,0,1,0,0,0,0,5,11,0
영등포구,0,0,1,0,0,0,0,5,12,0
영등포구,0,0,1,0,0,0,0,5,13,0
영등포구,0,0,1,0,0,0,0,5,14,0
영등포구,0,0,1,0,0,0,0,5,15,0
영등포구,0,0,1,0,0,0,0,5,16,0
영등포구,0,0,1,0,0,0,0,5,17,0
영등포구,0,0,1,0,0,0,0,5,18,0
영등포구,0,0,1,0,0,0,0,5,19,0
영등포구,0,0,1,0,0,0,0,5,20,0
영등포구,0,0,1,0,0,0,0,5,21,0
영등포구,0,0,1,0,0,0,0,5,22,0
영등포구,0,0,1,0,0,0,0,5,23,0
영등포구,0,0,0,1,0,0,0,6,0,0
영등포구,0,0,0,1,0,0,0,6,1,0
영등포구,0,0,0,1,0,0,0,6,2,0
영등포구,0,0,0,1,0,0,0,6,3,0
영등포구,0,0,0,1,0,0,0,6,4,0
영등포구,0,0,0,1,0,0,0,6,5,0
영등포구,0,0,0,1,0,0,0,6,6,0
영등포구,0,0,0,1,0,0,0,6,7,0
영등포구,0,0,0,1,0,0,0,6,8,0
영등포구,0,0,0,1,0,0,0,6,9,0
영등포구,0,0,0,1,0,0,0,6,10,0
영등포구,0,0,0,1,0,0,0,6,11,0
영등포구,0,0,0,1,0,0,0,6,12,0
영등포구,0,0,0,1,0,0,0,6,13,0
영등포구,0,0,0,1,0,0,0,6,14,0
영등포구,0,0,0,1,0,0,0,6,15,0
영등포구,0,0,0,1,0,0,0,6,16,0
영등포구,0,0,0,1,0,0,0,6,17,0
영등포구,0,0,0,1,0,0,0,6,18,0
영등포구,0,0,0,1,0,0,0,6,19,0
영등포구,0,0,0,1,0,0,0,6,20,0
영등포구,0,0,0,1,0,0,0,6,21,0
영등포구,0,0,0,1,0,0,0,6,22,0
영등포구,0,0,0,1,0,0,0,6,23,0
영등포구,0,0,0,0,1,0,0,7,0,0
영등포구,0,0,0,0,1,0,0,7,1,0
영등포구,0,0,0,0,1,0,0,7,2,0
영등포구,0,0,0,0,1,0,0,7,3,0
영등포구,0,0,0,0,1,0,0,7,4,0
영등포구,0,0,0,0,1,0,0,7,5,0
영등포구,0,0,0,0,1,0,0,7,6,0
영등포구,0,0,0,0,1,0,0,7,7,0
영등포구,0,0,0,0,1,0,0,7,8,0
영등포구,0,0,0,0,1,0,0,7,9,0
영등포구,0,0,0,0,1,0,0,7,10,0
영등포구,0,0,0,0,1,0,0,7,11,0
영등포구,0,0,0,0,1,0,0,7,12,0
영등포구,0,0,0,0,1,0,0,7,13,0
영등포구,0,0,0,0,1,0,0,7,14,0
영등포구,0,0,0,0,1,0,0,7,15,0
영등포구,0,0,0,0,1,0,0,7,16,0
영등포구,0,0,0,0,1,0,0,7,17,0
영등포구,0,0,0,0,1,0,0,7,18,0
영등포구,0,0,0,0,1,0,0,7,19,0
영등포구,0,0,0,0,1,0,0,7,20,0
영등포구,0,0,0,0,1,0,0,7,21,0
영등포구,0,0,0,0,1,0,0,7,22,0
영등포구,0,0,0,0,1,0,0,7,23,0
영등포구,0,0,0,0,0,1,0,8,0,0
영등포구,0,0,0,0,0,1,0,8,1,0
영등포구,0,0,0,0,0,1,0,8,2,0
영등포구,0,0,0,0,0,1,0,8,3,0
영등포구,0,0,0,0,0,1,0,8,4,0
영등포구,0,0,0,0,0,1,0,8,5,0
영등포구,0,0,0,0,0,1,0,8,6,0
영등포구,0,0,0,0,0,1,0,8,7,0
영등포구,0,0,0,0,0,1,0,8,8,0
영등포구,0,0,0,0,0,1,0,8,9,0
영등포구,0,0,0,0,0,1,0,8,10,0
영등포구,0,0,0,0,0,1,0,8,11,0
영등포구,0,0,0,0,0,1,0,8,12,0
영등포구,0,0,0,0,0,1,0,8,13,0
영등포구,0,0,0,0,0,1,0,8,14,0
영등포구,0,0,0,0,0,1,0,8,15,0
영등포구,0,0,0,0,0,1,0,8,16,0
영등포구,0,0,0,0,0,1,0,8,17,0
영등포구,0,0,0,0,0,1,0,8,18,0
영등포구,0,0,0,0,0,1,0,8,19,0
영등포구,0,0,0,0,0,1,0,8,20,0
영등포구,0,0,0,0,0,1,0,8,21,0
영등포구,0,0,0,0,0,1,0,8,22,0
영등포구,0,0,0,0,0,1,0,8,23,0
영등포구,0,0,0,0,0,0,1,9,0,0
영등포구,0,0,0,0,0,0,1,9,1,0
영등포구,0,0,0,0,0,0,1,9,2,0
영등포구,0,0,0,0,0,0,1,9,3,0
영등포구,0,0,0,0,0,0,1,9,4,0
영등포구,0,0,0,0,0,0,1,9,5,0
영등포구,0,0,0,0,0,0,1,9,6,0
영등포구,0,0,0,0,0,0,1,9,7,0
영등포구,0,0,0,0,0,0,1,9,8,0
영등포구,0,0,0,0,0,0,1,9,9,0
영등포구,0,0,0,0,0,0,1,9,10,0
영등포구,0,0,0,0,0,0,1,9,11,0
영등포구,0,0,0,0,0,0,1,9,12,0
영등포구,0,0,0,0,0,0,1,9,13,0
영등포구,0,0,0,0,0,0,1,9,14,0
영등포구,0,0,0,0,0,0,1,9,15,0
영등포구,0,0,0,0,0,0,1,9,16,0
영등포구,0,0,0,0,0,0,1,9,17,0
영등포구,0,0,0,0,0,0,1,9,18,0
영등포구,0,0,0,0,0,0,1,9,19,0
영등포구,0,0,0,0,0,0,1,9,20,0
영등포구,0,0,0,0,0,0,1,9,21,0
영등포구,0,0,0,0,0,0,1,9,22,0
영등포구,0,0,0,0,0,0,1,9,23,0
영등포구,1,0,0,0,0,0,0,10,0,0
영등포구,1,0,0,0,0,0,0,10,1,0
영등포구,1,0,0,0,0,0,0,10,2,0
영등포구,1,0,0,0,0,0,0,10,3,0
영등포구,1,0,0,0,0,0,0,10,4,0
영등포구,1,0,0,0,0,0,0,10,5,0
영등포구,1,0,0,0,0,0,0,10,6,0
영등포구,1,0,0,0,0,0,0,10,7,0
영등포구,1,0,0,0,0,0,0,10,8,0
영등포구,1,0,0,0,0,0,0,10,9,0
영등포구,1,0,0,0,0,0,0,10,10,0
영등포구,1,0,0,0,0,0,0,10,11,0
영등포구,1,0,0,0,0,0,0,10,12,0
영등포구,1,0,0,0,0,0,0,10,13,0
영등포구,1,0,0,0,0,0,0,10,14,0
영등포구,1,0,0,0,0,0,0,10,15,0
영등포구,1,0,0,0,0,0,0,10,16,0
영등포구,1,0,0,0,0,0,0,10,17,0
영등포구,1,0,0,0,0,0,0,10,18,0
영등포구,1,0,0,0,0,0,0,10,19,0
영등포구,1,0,0,0,0,0,0,10,20,0
영등포구,1,0,0,0,0,0,0,10,21,0
영등포구,1,0,0,0,0,0,0,10,22,0
영등포구,1,0,0,0,0,0,0,10,23,0
영등포구,0,1,0,0,0,0,0,11,0,0
영등포구,0,1,0,0,0,0,0,11,1,0
영등포구,0,1,0,0,0,0,0,11,2,0
영등포구,0,1,0,0,0,0,0,11,3,0
영등포구,0,1,0,0,0,0,0,11,4,0
영등포구,0,1,0,0,0,0,0,11,5,0
영등포구,0,1,0,0,0,0,0,11,6,0
영등포구,0,1,0,0,0,0,0,11,7,0
영등포구,0,1,0,0,0,0,0,11,8,0
영등포구,0,1,0,0,0,0,0,11,9,0
영등포구,0,1,0,0,0,0,0,11,10,0
영등포구,0,1,0,0,0,0,0,11,11,0
영등포구,0,1,0,0,0,0,0,11,12,0
영등포구,0,1,0,0,0,0,0,11,13,0
영등포구,0,1,0,0,0,0,0,11,14,0
영등포구,0,1,0,0,0,0,0,11,15,0
영등포구,0,1,0,0,0,0,0,11,16,0
영등포구,0,1,0,0,0,0,0,11,17,0
영등포구,0,1,0,0,0,0,0,11,18,0
영등포구,0,1,0,0,0,0,0,11,19,0
영등포구,0,1,0,0,0,0,0,11,20,0
영등포구,0,1,0,0,0,0,0,11,21,0
영등포구,0,1,0,0,0,0,0,11,22,0
영등포구,0,1,0,0,0,0,0,11,23,0
영등포구,0,0,1,0,0,0,0,12,0,0
영등포구,0,0,1,0,0,0,0,12,1,0
영등포구,0,0,1,0,0,0,0,12,2,0
영등포구,0,0,1,0,0,0,0,12,3,0
영등포구,0,0,1,0,0,0,0,12,4,0
영등포구,0,0,1,0,0,0,0,12,5,0
영등포구,0,0,1,0,0,0,0,12,6,0
영등포구,0,0,1,0,0,0,0,12,7,0
영등포구,0,0,1,0,0,0,0,12,8,0
영등포구,0,0,1,0,0,0,0,12,9,0
영등포구,0,0,1,0,0,0,0,12,10,0
영등포구,0,0,1,0,0,0,0,12,11,0
영등포구,0,0,1,0,0,0,0,12,12,0
영등포구,0,0,1,0,0,0,0,12,13,0
영등포구,0,0,1,0,0,0,0,12,14,0
영등포구,0,0,1,0,0,0,0,12,15,0
영등포구,0,0,1,0,0,0,0,12,16,0
영등포구,0,0,1,0,0,0,0,12,17,0
영등포구,0,0,1,0,0,0,0,12,18,0
영등포구,0,0,1,0,0,0,0,12,19,0
영등포구,0,0,1,0,0,0,0,12,20,0
영등포구,0,0,1,0,0,0,0,12,21,0
영등포구,0,0,1,0,0,0,0,12,22,0
영등포구,0,0,1,0,0,0,0,12,23,0
영등포구,0,0,0,1,0,0,0,13,0,0
영등포구,0,0,0,1,0,0,0,13,1,0
영등포구,0,0,0,1,0,0,0,13,2,0
영등포구,0,0,0,1,0,0,0,13,3,0
영등포구,0,0,0,1,0,0,0,13,4,0
영등포구,0,0,0,1,0,0,0,13,5,0
영등포구,0,0,0,1,0,0,0,13,6,0
영등포구,0,0,0,1,0,0,0,13,7,0
영등포구,0,0,0,1,0,0,0,13,8,0
영등포구,0,0,0,1,0,0,0,13,9,0
영등포구,0,0,0,1,0,0,0,13,10,0
영등포구,0,0,0,1,0,0,0,13,11,0
영등포구,0,0,0,1,0,0,0,13,12,0
영등포구,0,0,0,1,0,0,0,13,13,0
영등포구,0,0,0,1,0,0,0,13,14,0
영등포구,0,0,0,1,0,0,0,13,15,0
영등포구,0,0,0,1,0,0,0,13,16,0
영등포구,0,0,0,1,0,0,0,13,17,0
영등포구,0,0,0,1,0,0,0,13,18,0
영등포구,0,0,0,1,0,0,0,13,19,0
영등포구,0,0,0,1,0,0,0,13,20,0
영등포구,0,0,0,1,0,0,0,13,21,0
영등포구,0,0,0,1,0,0,0,13,22,0
영등포구,0,0,0,1,0,0,0,13,23,0
영등포구,0,0,0,0,1,0,0,14,0,0
영등포구,0,0,0,0,1,0,0,14,1,0
영등포구,0,0,0,0,1,0,0,14,2,0
영등포구,0,0,0,0,1,0,0,14,3,0
영등포구,0,0,0,0,1,0,0,14,4,0
영등포구,0,0,0,0,1,0,0,14,5,0
영등포구,0,0,0,0,1,0,0,14,6,0
영등포구,0,0,0,0,1,0,0,14,7,0
영등포구,0,0,0,0,1,0,0,14,8,0
영등포구,0,0,0,0,1,0,0,14,9,0
영등포구,0,0,0,0,1,0,0,14,10,0
영등포구,0,0,0,0,1,0,0,14,11,0
영등포구,0,0,0,0,1,0,0,14,12,0
영등포구,0,0,0,0,1,0,0,14,13,0
영등포구,0,0,0,0,1,0,0,14,14,0
영등포구,0,0,0,0,1,0,0,14,15,0
영등포구,0,0,0,0,1,0,0,14,16,0
영등포구,0,0,0,0,1,0,0,14,17,0
영등포구,0,0,0,0,1,0,0,14,18,0
영등포구,0,0,0,0,1,0,0,14,19,0
영등포구,0,0,0,0,1,0,0,14,20,0
영등포구,0,0,0,0,1,0,0,14,21,0
영등포구,0,0,0,0,1,0,0,14,22,0
영등포구,0,0,0,0,1,0,0,14,23,0
영등포구,0,0,0,0,0,1,0,15,0,0
영등포구,0,0,0,0,0,1,0,15,1,0
영등포구,0,0,0,0,0,1,0,15,2,0
영등포구,0,0,0,0,0,1,0,15,3,0
영등포구,0,0,0,0,0,1,0,15,4,0
영등포구,0,0,0,0,0,1,0,15,5,0
영등포구,0,0,0,0,0,1,0,15,6,0
영등포구,0,0,0,0,0,1,0,15,7,0
영등포구,0,0,0,0,0,1,0,15,8,0
영등포구,0,0,0,0,0,1,0,15,9,0
영등포구,0,0,0,0,0,1,0,15,10,0
영등포구,0,0,0,0,0,1,0,15,11,0
영등포구,0,0,0,0,0,1,0,15,12,0
영등포구,0,0,0,0,0,1,0,15,13,0
영등포구,0,0,0,0,0,1,0,15,14,0
영등포구,0,0,0,0,0,1,0,15,15,0
영등포구,0,0,0,0,0,1,0,15,16,0
영등포구,0,0,0,0,0,1,0,15,17,0
영등포구,0,0,0,0,0,1,0,15,18,0
영등포구,0,0,0,0,0,1,0,15,19,0
영등포구,0,0,0,0,0,1,0,15,20,0
영등포구,0,0,0,0,0,1,0,15,21,0
영등포구,0,0,0,0,0,1,0,15,22,0
영등포구,0,0,0,0,0,1,0,15,23,0
영등포구,0,0,0,0,0,0,1,16,0,0
영등포구,0,0,0,0,0,0,1,16,1,0
영등포구,0,0,0,0,0,0,1,16,2,0
영등포구,0,0,0,0,0,0,1,16,3,0
영등포구,0,0,0,0,0,0,1,16,4,0
영등포구,0,0,0,0,0,0,1,16,5,0
영등포구,0,0,0,0,0,0,1,16,6,0
영등포구,0,0,0,0,0,0,1,16,7,0
영등포구,0,0,0,0,0,0,1,16,8,0
영등포구,0,0,0,0,0,0,1,16,9,0
영등포구,0,0,0,0,0,0,1,16,10,0
영등포구,0,0,0,0,0,0,1,16,11,0
영등포구,0,0,0,0,0,0,1,16,12,0
영등포구,0,0,0,0,0,0,1,16,13,0
영등포구,0,0,0,0,0,0,1,16,14,0
영등포구,0,0,0,0,0,0,1,16,15,0
영등포구,0,0,0,0,0,0,1,16,16,0
영등포구,0,0,0,0,0,0,1,16,17,0
영등포구,0,0,0,0,0,0,1,16,18,0
영등포구,0,0,0,0,0,0,1,16,19,0
영등포구,0,0,0,0,0,0,1,16,20,0
영등포구,0,0,0,0,0,0,1,16,21,0
영등포구,0,0,0,0,0,0,1,16,22,0
영등포구,0,0,0,0,0,0,1,16,23,0
영등포구,1,0,0,0,0,0,0,17,0,0
영등포구,1,0,0,0,0,0,0,17,1,0
영등포구,1,0,0,0,0,0,0,17,2,0
영등포구,1,0,0,0,0,0,0,17,3,0
영등포구,1,0,0,0,0,0,0,17,4,0
영등포구,1,0,0,0,0,0,0,17,5,0
영등포구,1,0,0,0,0,0,0,17,6,0
영등포구,1,0,0,0,0,0,0,17,7,0
영등포구,1,0,0,0,0,0,0,17,8,0
영등포구,1,0,0,0,0,0,0,17,9,0
영등포구,1,0,0,0,0,0,0,17,10,0
영등포구,1,0,0,0,0,0,0,17,11,0
영등포구,1,0,0,0,0,0,0,17,12,0
영등포구,1,0,0,0,0,0,0,17,13,0
영등포구,1,0,0,0,0,0,0,17,14,0
영등포구,1,0,0,0,0,0,0,17,15,0
영등포구,1,0,0,0,0,0,0,17,16,0
영등포구,1,0,0,0,0,0,0,17,17,0
영등포구,1,0,0,0,0,0,0,17,18,0
영등포구,1,0,0,0,0,0,0,17,19,0
영등포구,1,0,0,0,0,0,0,17,20,0
영등포구,1,0,0,0,0,0,0,17,21,0
영등포구,1,0,0,0,0,0,0,17,22,0
영등포구,1,0,0,0,0,0,0,17,23,0
영등포구,0,1,0,0,0,0,0,18,0,0
영등포구,0,1,0,0,0,0,0,18,1,0
영등포구,0,1,0,0,0,0,0,18,2,0
영등포구,0,1,0,0,0,0,0,18,3,0
영등포구,0,1,0,0,0,0,0,18,4,0
영등포구,0,1,0,0,0,0,0,18,5,0
영등포구,0,1,0,0,0,0,0,18,6,0
영등포구,0,1,0,0,0,0,0,18,7,0
영등포구,0,1,0,0,0,0,0,18,8,0
영등포구,0,1,0,0,0,0,0,18,9,0
영등포구,0,1,0,0,0,0,0,18,10,0
영등포구,0,1,0,0,0,0,0,18,11,0
영등포구,0,1,0,0,0,0,0,18,12,0
영등포구,0,1,0,0,0,0,0,18,13,0
영등포구,0,1,0,0,0,0,0,18,14,0
영등포구,0,1,0,0,0,0,0,18,15,0
영등포구,0,1,0,0,0,0,0,18,16,0
영등포구,0,1,0,0,0,0,0,18,17,0
영등포구,0,1,0,0,0,0,0,18,18,0
영등포구,0,1,0,0,0,0,0,18,19,0
영등포구,0,1,0,0,0,0,0,18,20,0
영등포구,0,1,0,0,0,0,0,18,21,0
영등포구,0,1,0,0,0,0,0,18,22,0
영등포구,0,1,0,0,0,0,0,18,23,0
영등포구,0,0,1,0,0,0,0,19,0,0
영등포구,0,0,1,0,0,0,0,19,1,0
영등포구,0,0,1,0,0,0,0,19,2,0
영등포구,0,0,1,0,0,0,0,19,3,0
영등포구,0,0,1,0,0,0,0,19,4,0
영등포구,0,0,1,0,0,0,0,19,5,0
영등포구,0,0,1,0,0,0,0,19,6,0
영등포구,0,0,1,0,0,0,0,19,7,0
영등포구,0,0,1,0,0,0,0,19,8,0
영등포구,0,0,1,0,0,0,0,19,9,0
영등포구,0,0,1,0,0,0,0,19,10,0
영등포구,0,0,1,0,0,0,0,19,11,0
영등포구,0,0,1,0,0,0,0,19,12,0
영등포구,0,0,1,0,0,0,0,19,13,0
영등포구,0,0,1,0,0,0,0,19,14,0
영등포구,0,0,1,0,0,0,0,19,15,0
영등포구,0,0,1,0,0,0,0,19,16,0
영등포구,0,0,1,0,0,0,0,19,17,0
영등포구,0,0,1,0,0,0,0,19,18,0
영등포구,0,0,1,0,0,0,0,19,19,0
영등포구,0,0,1,0,0,0,0,19,20,0
영등포구,0,0,1,0,0,0,0,19,21,0
영등포구,0,0,1,0,0,0,0,19,22,0
영등포구,0,0,1,0,0,0,0,19,23,0
영등포구,0,0,0,1,0,0,0,20,0,0
영등포구,0,0,0,1,0,0,0,20,1,0
영등포구,0,0,0,1,0,0,0,20,2,0
영등포구,0,0,0,1,0,0,0,20,3,0
영등포구,0,0,0,1,0,0,0,20,4,0
영등포구,0,0,0,1,0,0,0,20,5,0
영등포구,0,0,0,1,0,0,0,20,6,0
영등포구,0,0,0,1,0,0,0,20,7,0
영등포구,0,0,0,1,0,0,0,20,8,0
영등포구,0,0,0,1,0,0,0,20,9,0
영등포구,0,0,0,1,0,0,0,20,10,0
영등포구,0,0,0,1,0,0,0,20,11,0
영등포구,0,0,0,1,0,0,0,20,12,0
영등포구,0,0,0,1,0,0,0,20,13,0
영등포구,0,0,0,1,0,0,0,20,14,0
영등포구,0,0,0,1,0,0,0,20,15,0
영등포구,0,0,0,1,0,0,0,20,16,0
영등포구,0,0,0,1,0,0,0,20,17,0
영등포구,0,0,0,1,0,0,0,20,18,0
영등포구,0,0,0,1,0,0,0,20,19,0
영등포구,0,0,0,1,0,0,0,20,20,0
영등포구,0,0,0,1,0,0,0,20,21,0
영등포구,0,0,0,1,0,0,0,20,22,0
영등포구,0,0,0,1,0,0,0,20,23,0
영등포구,0,0,0,0,1,0,0,21,0,0
영등포구,0,0,0,0,1,0,0,21,1,0
영등포구,0,0,0,0,1,0,0,21,2,0
영등포구,0,0,0,0,1,0,0,21,3,0
영등포구,0,0,0,0,1,0,0,21,4,0
영등포구,0,0,0,0,1,0,0,21,5,0
영등포구,0,0,0,0,1,0,0,21,6,0
영등포구,0,0,0,0,1,0,0,21,7,0
영등포구,0,0,0,0,1,0,0,21,8,0
영등포구,0,0,0,0,1,0,0,21,9,0
영등포구,0,0,0,0,1,0,0,21,10,0
영등포구,0,0,0,0,1,0,0,21,11,0
영등포구,0,0,0,0,1,0,0,21,12,0
영등포구,0,0,0,0,1,0,0,21,13,0
영등포구,0,0,0,0,1,0,0,21,14,0
영등포구,0,0,0,0,1,0,0,21,15,0
영등포구,0,0,0,0,1,0,0,21,16,0
영등포구,0,0,0,0,1,0,0,21,17,0
영등포구,0,0,0,0,1,0,0,21,18,0
영등포구,0,0,0,0,1,0,0,21,19,0
영등포구,0,0,0,0,1,0,0,21,20,0
영등포구,0,0,0,0,1,0,0,21,21,0
영등포구,0,0,0,0,1,0,0,21,22,0
영등포구,0,0,0,0,1,0,0,21,23,0
영등포구,0,0,0,0,0,1,0,22,0,0
영등포구,0,0,0,0,0,1,0,22,1,0
영등포구,0,0,0,0,0,1,0,22,2,0
영등포구,0,0,0,0,0,1,0,22,3,0
영등포구,0,0,0,0,0,1,0,22,4,0
영등포구,0,0,0,0,0,1,0,22,5,0
영등포구,0,0,0,0,0,1,0,22,6,0
영등포구,0,0,0,0,0,1,0,22,7,0
영등포구,0,0,0,0,0,1,0,22,8,0
영등포구,0,0,0,0,0,1,0,22,9,0
영등포구,0,0,0,0,0,1,0,22,10,0
영등포구,0,0,0,0,0,1,0,22,11,0
영등포구,0,0,0,0,0,1,0,22,12,0
영등포구,0,0,0,0,0,1,0,22,13,0
영등포구,0,0,0,0,0,1,0,22,14,0
영등포구,0,0,0,0,0,1,0,22,15,0
영등포구,0,0,0,0,0,1,0,22,16,0
영등포구,0,0,0,0,0,1,0,22,17,0
영등포구,0,0,0,0,0,1,0,22,18,0
영등포구,0,0,0,0,0,1,0,22,19,0
영등포구,0,0,0,0,0,1,0,22,20,0
영등포구,0,0,0,0,0,1,0,22,21,0
영등포구,0,0,0,0,0,1,0,22,22,0
영등포구,0,0,0,0,0,1,0,22,23,0
영등포구,0,0,0,0,0,0,1,23,0,1
영등포구,0,0,0,0,0,0,1,23,1,1
영등포구,0,0,0,0,0,0,1,23,2,1
영등포구,0,0,0,0,0,0,1,23,3,1
영등포구,0,0,0,0,0,0,1,23,4,1
영등포구,0,0,0,0,0,0,1,23,5,1
영등포구,0,0,0,0,0,0,1,23,6,1
영등포구,0,0,0,0,0,0,1,23,7,1
영등포구,0,0,0,0,0,0,1,23,8,1
영등포구,0,0,0,0,0,0,1,23,9,1
영등포구,0,0,0,0,0,0,1,23,10,1
영등포구,0,0,0,0,0,0,1,23,11,1
영등포구,0,0,0,0,0,0,1,23,12,1
영등포구,0,0,0,0,0,0,1,23,13,1
영등포구,0,0,0,0,0,0,1,23,14,1
영등포구,0,0,0,0,0,0,1,23,15,1
영등포구,0,0,0,0,0,0,1,23,16,1
영등포구,0,0,0,0,0,0,1,23,17,1
영등포구,0,0,0,0,0,0,1,23,18,1
영등포구,0,0,0,0,0,0,1,23,19,1
영등포구,0,0,0,0,0,0,1,23,20,1
영등포구,0,0,0,0,0,0,1,23,21,1
영등포구,0,0,0,0,0,0,1,23,22,1
영등포구,0,0,0,0,0,0,1,23,23,1
영등포구,1,0,0,0,0,0,0,24,0,1
영등포구,1,0,0,0,0,0,0,24,1,1
영등포구,1,0,0,0,0,0,0,24,2,1
영등포구,1,0,0,0,0,0,0,24,3,1
영등포구,1,0,0,0,0,0,0,24,4,1
영등포구,1,0,0,0,0,0,0,24,5,1
영등포구,1,0,0,0,0,0,0,24,6,1
영등포구,1,0,0,0,0,0,0,24,7,1
영등포구,1,0,0,0,0,0,0,24,8,1
영등포구,1,0,0,0,0,0,0,24,9,1
영등포구,1,0,0,0,0,0,0,24,10,1
영등포구,1,0,0,0,0,0,0,24,11,1
영등포구,1,0,0,0,0,0,0,24,12,1
영등포구,1,0,0,0,0,0,0,24,13,1
영등포구,1,0,0,0,0,0,0,24,14,1
영등포구,1,0,0,0,0,0,0,24,15,1
영등포구,1,0,0,0,0,0,0,24,16,1
영등포구,1,0,0,0,0,0,0,24,17,1
영등포구,1,0,0,0,0,0,0,24,18,1
영등포구,1,0,0,0,0,0,0,24,19,1
영등포구,1,0,0,0,0,0,0,24,20,1
영등포구,1,0,0,0,0,0,0,24,21,1
영등포구,1,0,0,0,0,0,0,24,22,1
영등포구,1,0,0,0,0,0,0,24,23,1
영등포구,0,1,0,0,0,0,0,25,0,1
영등포구,0,1,0,0,0,0,0,25,1,1
영등포구,0,1,0,0,0,0,0,25,2,1
영등포구,0,1,0,0,0,0,0,25,3,1
영등포구,0,1,0,0,0,0,0,25,4,1
영등포구,0,1,0,0,0,0,0,25,5,1
영등포구,0,1,0,0,0,0,0,25,6,1
영등포구,0,1,0,0,0,0,0,25,7,1
영등포구,0,1,0,0,0,0,0,25,8,1
영등포구,0,1,0,0,0,0,0,25,9,1
영등포구,0,1,0,0,0,0,0,25,10,1
영등포구,0,1,0,0,0,0,0,25,11,1
영등포구,0,1,0,0,0,0,0,25,12,1
영등포구,0,1,0,0,0,0,0,25,13,1
영등포구,0,1,0,0,0,0,0,25,14,1
영등포구,0,1,0,0,0,0,0,25,15,1
영등포구,0,1,0,0,0,0,0,25,16,1
영등포구,0,1,0,0,0,0,0,25,17,1
영등포구,0,1,0,0,0,0,0,25,18,1
영등포구,0,1,0,0,0,0,0,25,19,1
영등포구,0,1,0,0,0,0,0,25,20,1
영등포구,0,1,0,0,0,0,0,25,21,1
영등포구,0,1,0,0,0,0,0,25,22,1
영등포구,0,1,0,0,0,0,0,25,23,1
영등포구,0,0,1,0,0,0,0,26,0,0
영등포구,0,0,1,0,0,0,0,26,1,0
영등포구,0,0,1,0,0,0,0,26,2,0
영등포구,0,0,1,0,0,0,0,26,3,0
영등포구,0,0,1,0,0,0,0,26,4,0
영등포구,0,0,1,0,0,0,0,26,5,0
영등포구,0,0,1,0,0,0,0,26,6,0
영등포구,0,0,1,0,0,0,0,26,7,0
영등포구,0,0,1,0,0,0,0,26,8,0
영등포구,0,0,1,0,0,0,0,26,9,0
영등포구,0,0,1,0,0,0,0,26,10,0
영등포구,0,0,1,0,0,0,0,26,11,0
영등포구,0,0,1,0,0,0,0,26,12,0
영등포구,0,0,1,0,0,0,0,26,13,0
영등포구,0,0,1,0,0,0,0,26,14,0
영등포구,0,0,1,0,0,0,0,26,15,0
영등포구,0,0,1,0,0,0,0,26,16,0
영등포구,0,0,1,0,0,0,0,26,17,0
영등포구,0,0,1,0,0,0,0,26,18,0
영등포구,0,0,1,0,0,0,0,26,19,0
영등포구,0,0,1,0,0,0,0,26,20,0
영등포구,0,0,1,0,0,0,0,26,21,0
영등포구,0,0,1,0,0,0,0,26,22,0
영등포구,0,0,1,0,0,0,0,26,23,0
영등포구,0,0,0,1,0,0,0,27,0,0
영등포구,0,0,0,1,0,0,0,27,1,0
영등포구,0,0,0,1,0,0,0,27,2,0
영등포구,0,0,0,1,0,0,0,27,3,0
영등포구,0,0,0,1,0,0,0,27,4,0
영등포구,0,0,0,1,0,0,0,27,5,0
영등포구,0,0,0,1,0,0,0,27,6,0
영등포구,0,0,0,1,0,0,0,27,7,0
영등포구,0,0,0,1,0,0,0,27,8,0
영등포구,0,0,0,1,0,0,0,27,9,0
영등포구,0,0,0,1,0,0,0,27,10,0
영등포구,0,0,0,1,0,0,0,27,11,0
영등포구,0,0,0,1,0,0,0,27,12,0
영등포구,0,0,0,1,0,0,0,27,13,0
영등포구,0,0,0,1,0,0,0,27,14,0
영등포구,0,0,0,1,0,0,0,27,15,0
영등포구,0,0,0,1,0,0,0,27,16,0
영등포구,0,0,0,1,0,0,0,27,17,0
영등포구,0,0,0,1,0,0,0,27,18,0
영등포구,0,0,0,1,0,0,0,27,19,0
영등포구,0,0,0,1,0,0,0,27,20,0
영등포구,0,0,0,1,0,0,0,27,21,0
